pi.vec,procedure,FDR,n,bound,power
0.6,LORD,0.007718516377871875,50,1,0.3049169038745325
0.6,ADDIS,0.01620900222881017,50,1,0.3605517647668418
0.6,LORD2.plus,0.013275940263248966,50,1,0.35178435082846704
0.6,SAFFRON,0.029765174991383883,50,1,0.3756412364998378
0.6,LOND,0.009419792050488911,50,1,0.3404047944179521
0.65,Bonferroni,0.0015252676637615796,50,1,0.2677899799628349
0.65,LORD,0.006770602118998722,50,1,0.3110907417753378
0.65,ADDIS,0.01472902197136466,50,1,0.3686669404367193
0.65,LORD2.plus,0.01166787780179047,50,1,0.35881958447062373
0.65,SAFFRON,0.026648098271449597,50,1,0.3880604824388219
0.65,LOND,0.008207242429526525,50,1,0.3443860001034496
0.7000000000000001,Bonferroni,0.0012634870815713185,50,1,0.26775289308383454
0.7000000000000001,LORD,0.006079248129361499,50,1,0.31688026549992143
0.7000000000000001,ADDIS,0.01309985773954078,50,1,0.37681680448164306
0.7000000000000001,LORD2.plus,0.010365530519404673,50,1,0.36553604218604413
0.7000000000000001,SAFFRON,0.02353565927718521,50,1,0.40056604466730367
0.7000000000000001,LOND,0.007091343752800739,50,1,0.3484100238632242
0.75,Bonferroni,9.469128225144159e-4,50,1,0.2674636313970541
0.75,LORD,0.004985233016557605,50,1,0.32222076478825745
0.75,ADDIS,0.011253982432747863,50,1,0.38582825798979875
0.75,LORD2.plus,0.008575217998716838,50,1,0.3713995469280795
0.75,SAFFRON,0.02022429771751918,50,1,0.4126129796916688
0.75,LOND,0.005840331922829816,50,1,0.35161330829390175
0.8,Bonferroni,7.130283261000601e-4,50,1,0.2676598106555457
0.8,LORD,0.004158299901824647,50,1,0.3278348563412587
0.8,ADDIS,0.009269296116453229,50,1,0.3935057869450515
0.8,LORD2.plus,0.007026883021657972,50,1,0.3778878937011572
0.8,SAFFRON,0.016548087719954946,50,1,0.4244885959405099
0.8,LOND,0.004782625799279141,50,1,0.35544558626022027
0.85,Bonferroni,4.989967953100155e-4,50,1,0.2677903521141581
0.85,LORD,0.0031576220367717884,50,1,0.3331346957219284
0.85,ADDIS,0.007240540403350183,50,1,0.4014936769340653
0.85,LORD2.plus,0.005291633762516625,50,1,0.3837356715356737
0.85,SAFFRON,0.012835217966353027,50,1,0.43690726919064415
0.85,LOND,0.0035495541398064072,50,1,0.35895018235698456
0.9,Bonferroni,3.5012991956619144e-4,50,1,0.26777191459582644
0.9,LORD,0.002136203067487073,50,1,0.33805365641700047
